survey_codigo,question_codigo,peso
eval-lic-matematicas-2025-2,Q1,1
eval-lic-matematicas-2025-2,Q2,1
eval-lic-matematicas-2025-2,Q3,1
eval-lic-matematicas-2025-2,Q4,1
eval-lic-matematicas-2025-2,Q5,1
eval-lic-matematicas-2025-2,Q6,1
eval-lic-matematicas-2025-2,Q7,1
eval-lic-matematicas-2025-2,Q8,1
eval-lic-matematicas-2025-2,Q9,1
eval-lic-matematicas-2025-2,Q10,1
eval-lic-matematicas-2025-2,Q11,1
eval-lic-matematicas-2025-2,Q12,1
eval-lic-matematicas-2025-2,Q13,1
eval-lic-matematicas-2025-2,Q14,1
eval-lic-matematicas-2025-2,Q15,1
eval-lic-matematicas-2025-2,Q16,1
